NestID,M#1,M#2,Location,Lat,Long
9,7C5,UB,FMS 28,42.98625,-70.61824
22,8JM,UB,PK,42.98709,-70.61557
23,1T4,UB,FMS 28,42.98633,-70.61823
43,7JN,7JU,Grass Lab,42.98903,-70.6157
44,3AP,9AC,Grass Lab,42.98916,-70.61588
52,2JR,4KE,Dorm 2,42.98713,-70.61401
53,2AE,UB,Dorm 2-3,42.98704,-70.61419
54,9EF,1K9,PK,42.98695,-70.61556
55,6HU,0T4,Laighton--PK,42.98727,-70.61553
56,5AU,7AV,radio tower,42.98716,-70.61528
57,2 E 2,UB,Sunset,42.986965,-70.615845
58,8EP,UB,Laighton,42.98753,-70.61544
59,4Z9,4ER,Sunset,42.98692,-70.6159
60,1EE,2AK,Sunset,42.98695,-70.61596
61,4EC,UB,Sunset,42.98686,-70.61597
62,5T9,UB,Sunset,42.98685,-70.61602
63,1R4,UB,Sunset,42.98697,-70.61585
65,9EH,5HC,dock,42.98708,-70.61691
66,5EC,UB,dock,42.98718,-70.61702
67,2U0,3ET,dock,42.98719,-70.61701
68,0AX,UB,dock,42.98727,-70.61689
69,4FE,UB,dock,42.98724,-70.61703
70,3P2,Fed,dock--HTP,42.98757,-70.61596
71,0X5,4Z1,HTP,42.9882,-70.61577
72,8C7,8JN,HTP,42.98821,-70.61583
73,4X5,4X6,HTP,42.98836,-70.6158
74,2FL,5KH,HTP,42.98839,-70.6157
75,0EK,UB,HTP,42.98844,-70.61568
76,5Y3,UB,Paint Shed,42.98876,-70.61531
84,0U4,UB,Sunset,42.98696,-70.6158
86,5Y4,UB,HTP,42.98817,-70.61583
89,0AZ,UB,FMS 28,42.9865,-70.61795
90,2Z1,UB,FMS 28,42.98626,-70.61812
91,0Y4,UB,FMS 28,42.9863,-70.61811
94,6FU,UB,FMS 28,42.98636,-70.61807
106,6AC,UB,HTP,42.9885,-70.61562
107,6JN,UB,HTP,42.98845,-70.61569
108,0N7,5JN,HTP,42.98846,-70.61577
109,0HA,UB,HTP/Tide Pool,42.98854,-70.61551
110,0P3,5FE,HTP/Tide Pool,42.98858,-70.61542
111,2HZ,0HZ,Swale,42.98848,-70.61532
112,0EU,UB,Paint Shed,42.98877,-70.61529
114,OHX,Fed 2017-23975,Dive Locker,42.98897,-70.61542
127,3EH,9JN,HTP,42.9881,-70.61578
132,6FF,2AY,FMS 28,42.98651,-70.6179