NestID,M#1,M#2,Location,Lat,Long,Circuit
5,3Z5,5FV,Bartels--bench,42.98861,-70.61175,1
18,3T1,5JV,DDF,42.99164,-70.61488,1
29,3HZ,0HU,DDF,42.99181,-70.61497,1
30,7F9,9FJ,trail--Sandpiper,42.9899,-70.61685,1
31,1FM,UB,trail--Sandpiper,42.98987,-70.61685,1
32,3T3,5ER,Celia's bench,42.98937,-70.61626,1
34,2M8,0FU,trail--Sandpiper,42.9897,-70.61688,1
35,7U9,0AC,FMS 5,42.9893,-70.61647,1
38,5EF,3KE,Siren's,42.99196,-70.61361,1
39,3V7,UB,Siren's,42.9919,-70.61376,1
41,6M4,2KE,Siren's,42.99195,-70.61365,1
51,3AE,6N2,Kiggins,42.98793,-70.61367,1
77,5KE,UB,Sandpiper,42.99049,-70.61676,1
78,0U0,UB,incinerator,42.98899,-70.61273,1
85,8FF,UB,trail--Sandpiper,42.98961,-70.6168,1
87,0EE,UB,Dorm 1,42.9875,-70.61368,1
92,7AT,UB,Siren's,42.99186,-70.61336,1
93,7HY,UB,Siren's,42.99187,-70.61341,1
95,4M3,UB,Siren's,42.99191,-70.6136,1
96,7HZ,UB,Siren's,42.9919,-70.6135,1
98,7EA,UB,Siren's,42.99165,-70.61351,1
101,6EN,UB,Siren's,42.99168,-70.61326,1
102,2P3,1JN,incinerator,42.98887,-70.61234,1
113,2Z0,UB,old dock (by Paint Shed),42.98881,-70.6151,1
115,5Y9,UB,Celia's,42.9896,-70.61604,1
116,8X2,UB,Celia's (rocks),42.98996,-70.61597,1
118,7 E 6,3HE,rock-on-trail,42.99072,-70.61501,1
119,0FJ,1KE,DDF,42.99157,-70.61493,1
120,5R7,0J2,Grass Lab/AIMS,42.98933,-70.61523,1
121,4FV,UB,Bartels--bench,42.98843,-70.61197,1
123,5AT,UB,Ross's Pole Barn,42.98964,-70.61457,1
125,3Y3,UB,bench--incinerator,42.98886,-70.61165,1
126,9JM,UB,bench (Gerry's),42.98877,-70.61159,1
128,6EC,UB,Siren's,42.99192,-70.61309,1
131,0AU,UB,Celia's bench,42.98943,-70.61629,1
139,7FL,4JN,Sandpiper,42.99054,-70.61681,1
9,7C5,UB,FMS 28,42.98625,-70.61824,2
22,8JM,UB,PK,42.98709,-70.61557,2
23,1T4,UB,FMS 28,42.98633,-70.61823,2
43,7JN,7JU,Grass Lab,42.98903,-70.6157,2
44,3AP,9AC,Grass Lab,42.98916,-70.61588,2
52,2JR,4KE,Dorm 2,42.98713,-70.61401,2
53,2AE,UB,Dorm 2-3,42.98704,-70.61419,2
54,9EF,1K9,PK,42.98695,-70.61556,2
55,6HU,0T4,Laighton--PK,42.98727,-70.61553,2
56,5AU,7AV,radio tower,42.98716,-70.61528,2
57,2 E 2,UB,Sunset,42.986965,-70.615845,2
58,8EP,UB,Laighton,42.98753,-70.61544,2
59,4Z9,4ER,Sunset,42.98692,-70.6159,2
60,1EE,2AK,Sunset,42.98695,-70.61596,2
61,4EC,UB,Sunset,42.98686,-70.61597,2
62,5T9,UB,Sunset,42.98685,-70.61602,2
63,1R4,UB,Sunset,42.98697,-70.61585,2
65,9EH,5HC,dock,42.98708,-70.61691,2
66,5EC,UB,dock,42.98718,-70.61702,2
67,2U0,3ET,dock,42.98719,-70.61701,2
68,0AX,UB,dock,42.98727,-70.61689,2
69,4FE,UB,dock,42.98724,-70.61703,2
70,3P2,Fed,dock--HTP,42.98757,-70.61596,2
71,0X5,4Z1,HTP,42.9882,-70.61577,2
72,8C7,8JN,HTP,42.98821,-70.61583,2
73,4X5,4X6,HTP,42.98836,-70.6158,2
74,2FL,5KH,HTP,42.98839,-70.6157,2
75,0EK,UB,HTP,42.98844,-70.61568,2
76,5Y3,UB,Paint Shed,42.98876,-70.61531,2
84,0U4,UB,Sunset,42.98696,-70.6158,2
86,5Y4,UB,HTP,42.98817,-70.61583,2
89,0AZ,UB,FMS 28,42.9865,-70.61795,2
90,2Z1,UB,FMS 28,42.98626,-70.61812,2
91,0Y4,UB,FMS 28,42.9863,-70.61811,2
94,6FU,UB,FMS 28,42.98636,-70.61807,2
106,6AC,UB,HTP,42.9885,-70.61562,2
107,6JN,UB,HTP,42.98845,-70.61569,2
108,0N7,5JN,HTP,42.98846,-70.61577,2
109,0HA,UB,HTP/Tide Pool,42.98854,-70.61551,2
110,0P3,5FE,HTP/Tide Pool,42.98858,-70.61542,2
111,2HZ,0HZ,Swale,42.98848,-70.61532,2
112,0EU,UB,Paint Shed,42.98877,-70.61529,2
114,OHX,Fed 2017-23975,Dive Locker,42.98897,-70.61542,2
127,3EH,9JN,HTP,42.9881,-70.61578,2
132,6FF,2AY,FMS 28,42.98651,-70.6179,2