birdID,nestID,obs_date,hatch1_date,days_pre_hatch,score,mate_present
9Z4,21G02,5/20/2021,5/29/2021,9,8,
2EE,21G04,5/20/2021,5/25/2021,5,8,MP
0T4,21G05,5/20/2021,6/7/2021,18,4,
1K9,21G06,5/20/2021,6/8/2021,19,8,
2HZ,21G09,5/20/2021,6/9/2021,20,4,MP
FED,21G17,5/20/2021,5/27/2021,7,7,MP
9JP,21G18,5/20/2021,6/8/2021,19,4,
4F7,21G03,5/21/2021,6/6/2021,16,8,
*UB,21G07,5/21/2021,5/31/2021,10,8,
1Z5,21G10,5/21/2021,6/13/2021,23,4,
0HX,21G11,5/21/2021,6/6/2021,16,6,MP
3AP,21G12,5/21/2021,6/11/2021,21,6,
1HY,21G13,5/21/2021,5/27/2021,6,4,
7U9,21G14,5/21/2021,6/7/2021,17,8,MP
7E6,21G15,5/21/2021,6/13/2021,23,5,MP
2M8,21G16,5/21/2021,6/10/2021,20,8,MP
6R3,21G23,5/21/2021,6/7/2021,17,7,
0EE,21G02,5/24/2021,5/29/2021,5,6,
4F7,21G03,5/24/2021,6/6/2021,13,8,
6V4,21G04,5/24/2021,5/25/2021,1,4,MP
0T4,21G05,5/24/2021,6/7/2021,14,5,MP
9EF,21G06,5/24/2021,6/8/2021,15,4,
2E2,21G07,5/24/2021,5/31/2021,7,5,
0HZ,21G09,5/24/2021,6/9/2021,16,4,MP
1Z5,21G10,5/24/2021,6/13/2021,20,4,
0HX,21G11,5/24/2021,6/6/2021,13,7,
3AP,21G12,5/24/2021,6/11/2021,18,6,
1HY,21G13,5/24/2021,5/27/2021,3,4,MP
7U9,21G14,5/24/2021,6/7/2021,14,7,
3HE,21G15,5/24/2021,6/13/2021,20,7,
2M8,21G16,5/24/2021,6/10/2021,17,6,MP
3P2,21G17,5/24/2021,5/27/2021,3,6,
1M7,21G18,5/24/2021,6/8/2021,15,4,
4AC,21G23,5/24/2021,6/7/2021,14,6,
9Z4,21G02,5/27/2021,5/29/2021,2,8,
8EX,21G03,5/27/2021,6/6/2021,10,6,MP
6V4,21G04,5/27/2021,5/25/2021,-2,7,MP
0T4,21G05,5/27/2021,6/7/2021,11,5,MP
1K9,21G06,5/27/2021,6/8/2021,12,5,MP
2E2,21G07,5/27/2021,5/31/2021,4,4,
0HZ,21G09,5/27/2021,6/9/2021,13,4,MP
1Z5,21G10,5/27/2021,6/13/2021,17,5,
7JM,21G11,5/27/2021,6/6/2021,10,6,
3AP,21G12,5/27/2021,6/11/2021,15,6,MP
1C3,21G13,5/27/2021,5/27/2021,0,X,
7U9,21G14,5/27/2021,6/7/2021,11,8,MP
7E6,21G15,5/27/2021,6/13/2021,17,4,MP
0FU,21G16,5/27/2021,6/10/2021,14,8,
FED,21G17,5/27/2021,5/27/2021,0,7,
9JP,21G18,5/27/2021,6/8/2021,12,6,MP
6R3,21G23,5/27/2021,6/7/2021,11,7,MP
4F7,21G03,5/31/2021,6/6/2021,6,8,MP
6HU,21G05,5/31/2021,6/7/2021,7,4,MP
9EF,21G06,5/31/2021,6/8/2021,8,4,
2E2,21G07,5/31/2021,5/31/2021,0,4,
2HZ,21G09,5/31/2021,6/9/2021,9,4,
5Y3,21G10,5/31/2021,6/13/2021,13,4,
7JM,21G11,5/31/2021,6/6/2021,6,6,
9AC,21G12,5/31/2021,6/11/2021,11,6,
0AC,21G14,5/31/2021,6/7/2021,7,6,MP
7E6,21G15,5/31/2021,6/13/2021,13,4,
2M8,21G16,5/31/2021,6/10/2021,10,4,MP
9JP,21G18,5/31/2021,6/8/2021,8,5,
4AC,21G23,5/31/2021,6/7/2021,7,5,MP
4F7,21G03,6/3/2021,6/6/2021,3,7,
0T4,21G05,6/3/2021,6/7/2021,4,4,MP
9EF,21G06,6/3/2021,6/8/2021,5,4,
2HZ,21G09,6/3/2021,6/9/2021,6,4,MP
1Z5,21G10,6/3/2021,6/13/2021,10,4,
7JM,21G11,6/3/2021,6/6/2021,3,5,
3AP,21G12,6/3/2021,6/11/2021,8,4,
7U9,21G14,6/3/2021,6/7/2021,4,6,
3HE,21G15,6/3/2021,6/13/2021,10,6,MP
2M8,21G16,6/3/2021,6/10/2021,7,4,
1M7,21G18,6/3/2021,6/8/2021,5,4,
4AC,21G23,6/3/2021,6/7/2021,4,4,MP
4F7,21G03,6/6/2021,6/6/2021,0,8,
6HU,21G05,6/6/2021,6/7/2021,1,4,
9EF,21G06,6/6/2021,6/8/2021,2,4,
2HZ,21G09,6/6/2021,6/9/2021,3,4,MP
5Y3,21G10,6/6/2021,6/13/2021,7,4,MP
0HX,21G11,6/6/2021,6/6/2021,0,6,
3AP,21G12,6/6/2021,6/11/2021,5,4,
9AC,21G12,6/6/2021,6/11/2021,5,6,MP
0AC,21G14,6/6/2021,6/7/2021,1,5,
3HE,21G15,6/6/2021,6/13/2021,7,6,
0FU,21G16,6/6/2021,6/10/2021,4,8,
9JP,21G18,6/6/2021,6/8/2021,2,4,MP