birdID,nestID,obs_date,hatch1_date,days_pre_hatch,response,latency,mate_present
9Z4,21G02,5/20/2021,5/29/2021,9,8,62,
2EE,21G04,5/20/2021,5/25/2021,5,8,52,MP
0T4,21G05,5/20/2021,6/7/2021,18,4,6,
1K9,21G06,5/20/2021,6/8/2021,19,8,215,
2HZ,21G09,5/20/2021,6/9/2021,20,4,34,MP
FED,21G17,5/20/2021,5/27/2021,7,7,300,MP
9JP,21G18,5/20/2021,6/8/2021,19,4,22,
4F7,21G03,5/21/2021,6/6/2021,16,8,116,
U21G07,21G07,5/21/2021,5/31/2021,10,8,300,
1Z5,21G10,5/21/2021,6/13/2021,23,4,2,
0HX,21G11,5/21/2021,6/6/2021,16,6,NA,MP
3AP,21G12,5/21/2021,6/11/2021,21,6,48,
1HY,21G13,5/21/2021,5/27/2021,6,4,6,
7U9,21G14,5/21/2021,6/7/2021,17,8,150,MP
7E6,21G15,5/21/2021,6/13/2021,23,5,10,MP
2M8,21G16,5/21/2021,6/10/2021,20,8,135,MP
6R3,21G23,5/21/2021,6/3/2021,13,7,14,
0EE,21G02,5/24/2021,5/29/2021,5,6,78,
4F7,21G03,5/24/2021,6/6/2021,13,8,104,
6V4,21G04,5/24/2021,5/25/2021,1,4,1,MP
0T4,21G05,5/24/2021,6/7/2021,14,5,6,MP
9EF,21G06,5/24/2021,6/8/2021,15,4,203,
2E2,21G07,5/24/2021,5/31/2021,7,5,9,
0HZ,21G09,5/24/2021,6/9/2021,16,4,5,MP
1Z5,21G10,5/24/2021,6/13/2021,20,4,7,
0HX,21G11,5/24/2021,6/6/2021,13,7,28,
3AP,21G12,5/24/2021,6/11/2021,18,6,52,
1HY,21G13,5/24/2021,5/27/2021,3,4,22,MP
7U9,21G14,5/24/2021,6/7/2021,14,7,34,
3HE,21G15,5/24/2021,6/13/2021,20,7,300,
2M8,21G16,5/24/2021,6/10/2021,17,6,27,MP
3P2,21G17,5/24/2021,5/27/2021,3,6,13,
1M7,21G18,5/24/2021,6/8/2021,15,4,10,
4AC,21G23,5/24/2021,6/3/2021,10,6,11,
9Z4,21G02,5/27/2021,5/29/2021,2,8,43,
8EX,21G03,5/27/2021,6/6/2021,10,6,20,MP
6V4,21G04,5/27/2021,5/25/2021,-2,7,300,MP
0T4,21G05,5/27/2021,6/7/2021,11,5,24,MP
1K9,21G06,5/27/2021,6/8/2021,12,5,21,MP
2E2,21G07,5/27/2021,5/31/2021,4,4,4,
0HZ,21G09,5/27/2021,6/9/2021,13,4,2,MP
1Z5,21G10,5/27/2021,6/13/2021,17,5,5,
7JM,21G11,5/27/2021,6/6/2021,10,6,67,
3AP,21G12,5/27/2021,6/11/2021,15,6,NA,MP
1C3,21G13,5/27/2021,5/27/2021,0,X,46,
7U9,21G14,5/27/2021,6/7/2021,11,8,NA,MP
7E6,21G15,5/27/2021,6/13/2021,17,4,10,MP
0FU,21G16,5/27/2021,6/10/2021,14,8,88,
FED,21G17,5/27/2021,5/27/2021,0,7,39,
9JP,21G18,5/27/2021,6/8/2021,12,6,300,MP
6R3,21G23,5/27/2021,6/3/2021,7,7,97,MP
4F7,21G03,5/31/2021,6/6/2021,6,8,NA,MP
6HU,21G05,5/31/2021,6/7/2021,7,4,10,MP
9EF,21G06,5/31/2021,6/8/2021,8,4,9,
2E2,21G07,5/31/2021,5/31/2021,0,4,6,
2HZ,21G09,5/31/2021,6/9/2021,9,4,3,
5Y3,21G10,5/31/2021,6/13/2021,13,4,13,
7JM,21G11,5/31/2021,6/6/2021,6,6,7,
9AC,21G12,5/31/2021,6/11/2021,11,6,21,
0AC,21G14,5/31/2021,6/7/2021,7,6,300,MP
7E6,21G15,5/31/2021,6/13/2021,13,4,11,
2M8,21G16,5/31/2021,6/10/2021,10,4,12,MP
9JP,21G18,5/31/2021,6/8/2021,8,5,21,
4AC,21G23,5/31/2021,6/3/2021,3,5,29,MP
4F7,21G03,6/3/2021,6/6/2021,3,7,21,
0T4,21G05,6/3/2021,6/7/2021,4,4,7,MP
9EF,21G06,6/3/2021,6/8/2021,5,4,3,
2HZ,21G09,6/3/2021,6/9/2021,6,4,5,MP
1Z5,21G10,6/3/2021,6/13/2021,10,4,4,
7JM,21G11,6/3/2021,6/6/2021,3,5,13,
3AP,21G12,6/3/2021,6/11/2021,8,4,9,
7U9,21G14,6/3/2021,6/7/2021,4,6,27,
3HE,21G15,6/3/2021,6/13/2021,10,6,NA,MP
2M8,21G16,6/3/2021,6/10/2021,7,4,20,
1M7,21G18,6/3/2021,6/8/2021,5,4,3,
4AC,21G23,6/3/2021,6/3/2021,0,4,8,MP
4F7,21G03,6/6/2021,6/6/2021,0,8,67,
6HU,21G05,6/6/2021,6/7/2021,1,4,4,
9EF,21G06,6/6/2021,6/8/2021,2,4,13,
2HZ,21G09,6/6/2021,6/9/2021,3,4,2,MP
5Y3,21G10,6/6/2021,6/13/2021,7,4,3,MP
0HX,21G11,6/6/2021,6/6/2021,0,6,19,
3AP,21G12,6/6/2021,6/11/2021,5,4,12,
9AC,21G12,6/6/2021,6/11/2021,5,6,82,MP
0AC,21G14,6/6/2021,6/7/2021,1,5,15,
3HE,21G15,6/6/2021,6/13/2021,7,6,300,
0FU,21G16,6/6/2021,6/10/2021,4,8,183,
9JP,21G18,6/6/2021,6/8/2021,2,4,6,MP