NestID_Date,M1,M2
19G10;6/1,8,5
19G10;6/4-5,5,6
19G10;6/8-9,5,5
19G3;5/29,5,6
19G3;6/1,4,7
19G3;6/4,8,6
19G3;6/8,4,6
19G3;6/12,5,5
19G49;6/1,6,8
19G49;6/5,6,6
19G49;6/9,6,6
19G49;6/12,5,6
19G41;6/1,8,8
19G41;6/5,8,8
19G42;6/1,6,6
19G43;5/28-29,5,5
19G43;6/1-2,5,5
19G43;6/5-6,5,4
19G45;5/28-29,8,8
19G45;6/1-2,7,6
19G45;6/4-5,7,7
19G53;6/1,8,7
19G53;6/5,8,8
19G54;6/1,6,8
19G54;6/5,8,5
19G54;6/8-9,7,6
19G54;6/12,7,5
19G56;6/1,6,7
19G56;6/5,8,6
19G56;6/9,7,6
19G50;6/1,5,7
19G50;6/5,6,7
19G50;6/9,6,6
19G57;5/29,5,5
19G57;6/1-2,4,5
19G30;5/28,7,7
19G30;6/1,8,5
19G30;6/5,6,8
19G30;6/9,8,4
19G30;6/12,4,8
19G58;6/9,7,6
19G59;6/1,7,8
19G59;6/5,5,5
19G60;6/1,6,5
19G60;6/5,5,5
19G61;6/2,8,5
19G62;6/1,6,7
19G62;6/5,7,5
19G23;6/4,5,8
19G23;6/8,5,6
19G23;6/12,6,6
19G14;5/28-29,4,7
19G14;6/1-2,4,4
19G14;6/5,5,5