PFR,Fed_ID,Genetic_Sex_PHAB,Database_Sex,Databasex_Sex_How,,Unsexed 04/19?
1C3,1777-08213,,M,b,,FALSE
2 E 2,1777-14022,,M,g,,FALSE
0EU,1777-14030,,M,g,,FALSE
7 E 6,1777-14040,,F,b/m,,FALSE
6N2,1777-28012,,,,,TRUE
2P3,1777-28082,M,,,,FALSE
6P5,1777-28089,M,M,g,,FALSE
3FV / 4P9,1777-28135,,M,g,,FALSE
3P2,1777-28138,M,M,g,,FALSE
6P7,1777-28140,M,M,g,,FALSE
4F7,1777-28193,M,,,,FALSE
1K9,1937-67519,F,F,g,,FALSE
9P3,1937-67569,F,F,g,,FALSE
7F9,1997-02027,F,,,,FALSE
6V4,1997-12550,,,,,TRUE
5R7,1997-12655,M,M,N/A,,FALSE
6R3,1997-12661,*,M,m,A24,FALSE
0T4 / X19G22,1997-12702,,F,b/m,,FALSE
0T4,1997-12702,,F,b/m,,FALSE
1T4,1997-12712,,M,N/A,,FALSE
3T3,1997-12731,M,,,,FALSE
1M7,1997-12812,,F,m,,FALSE
2M8,1997-12823,M,M,m,,FALSE
6M4,1997-12858,*,,,A42,FALSE
0V7,1997-12891,M,,,,FALSE
1V2,1997-12898,M,,,,FALSE
0HX / 5J1,2017-15725,F,F,m,,FALSE
0U0,2017-15862,,,,,TRUE
2U0,2017-15927,M,,,,FALSE
0U4,2017-15939,M,,,,FALSE
5Y3,2017-15952,M,M,m,,FALSE
2Z0,2017-17262,M,M,m,,FALSE
1Z5 / X19G14,2017-17265,,F,m,,FALSE
1Z5,2017-17265,,F,m,,FALSE
2Z5,2017-17271,M,,,,FALSE
9Z4,2017-17276,,F,m,,FALSE
5EC,2017-17303,,,,,TRUE
4EE,2017-17315,M,,,,FALSE
9EF,2017-17326,,M,m,,FALSE
2EE,2017-17328,,,,,TRUE
3EH,2017-17333,M,,,,FALSE
0EE,2017-17345,,M,b/m,,FALSE
7AV,2017-17361,*,,,A39,FALSE
5AT,2017-17380,M,,,,FALSE
5AU,2017-17385,,,,,TRUE
3AP,2017-17421,,,,,TRUE
6HU,2017-23862,M,M,m/b,,FALSE
2017-23864,2017-23864,,F,m,,FALSE
0HU,2017-23867,,F,m,,FALSE
1HY,2017-23886,F,,,,FALSE
2HY,2017-23888,M,,,,FALSE
3HY,2017-23889,M,,,,FALSE
6HY,2017-23892,F,,,,FALSE
8HY,2017-23894,M,,,,FALSE
9HY,2017-23895,M,,,,FALSE
0HY,2017-23896,M,,,,FALSE
0HZ,2017-23897,F,F,m,,FALSE
2HZ / 8F7,2017-23898 / 1997-02037,,M,m,,FALSE
3HZ,2017-23899,M,M,m,,FALSE
4HZ,2017-23900,M,,,,FALSE
5HZ,2017-23901,M,,,,FALSE
6HZ,2017-23902,F,,,,FALSE
8HZ,2017-23903,M,,,,FALSE
9HZ,2017-23905,,,,,TRUE
0KE / 7JM,2017-23975,*,M,m,A20,FALSE
1JN,2017-23979,*,F,m,A05,FALSE
9JN,2017-23988,*,F,m,A12,FALSE
9JP,2017-24000,M,,m,,FALSE
7U9,2017-25206,M,M,m,,FALSE
4ER,2017-25280,M,,,,FALSE
4ET,2017-25281,F,,,,FALSE
8EX,2017-25305,F,,,,FALSE
8FF,2017-25382,M,,,,FALSE
9FJ,2017-25396,*,M,m,A27,FALSE
2FL,2017-25406,M,M,b,,FALSE
4HA,2017-25459,M,,,,FALSE
5HE,2017-25474,F,,,,FALSE
3HE,2017-25475,M,M,m,,FALSE
5HC,2017-25476,F,,,,FALSE
7FU,2017-25481,M,,,,FALSE
9FU,2017-25482,M,,,,FALSE
0FU,2017-25483,,F,m,,FALSE
8FU,2017-25485,M,,,,FALSE
5FV,2017-25486,F,,,,FALSE
4FV,2017-25487,*,,,i27,FALSE
6FV,2017-25489,M,,,,FALSE
7FV,2017-25490,F,,,,FALSE
6FU,2017-25491,F,,,,FALSE
4AC,2017-25550,F,F,m,,FALSE
3AE,2017-25551,,,,,TRUE
3AC,2017-25558,F,,,,FALSE
9AC,2017-25563,,,,,TRUE
0AC,2017-25564,,F,m,,FALSE
1EA,2017-25567,,,,,TRUE
0HA,2017-30091,M,,,,FALSE
7HA,2017-30094,F,,,,FALSE
1HA,2017-30098,F,,,,FALSE
2JR,2017-82001,*,,,A18,FALSE
2KE,2017-82041,F,,,,FALSE
5KH,2017-82043,F,,,,FALSE
4KE,2017-82044,M,,,,FALSE
U19G03,,,,,,
U19G41,,,,,,
U19G42,,,,,,
U19G43,,,,,,
U19G45,,,,,,
U19G46,,,,,,
U19G53,,,,,,
U19G54,,,,,,
U19G56,,,,,,
U19G59,,,,,,
U19G60,,,,,,
U19G61,,,,,,
X19G30,,,,,,
U21G07,,,,,,
UB109,,,,,,
UB121,,,,,,
UB123,,,,,,
UB23,,,,,,
UB66,,,,,,
UB78,,,,,,
UB84,,,,,,
UB85,,,,,,